"Recorded Crime Offences Under Reservation (Number) by Type of Offence,"
"Garda Station and Year"

" ","Balbriggan, D.M.R. Northern Division",418
" ","Garristown, D.M.R. Northern Division",16
" ","Lusk, D.M.R. Northern Division",410
" ","Skerries, D.M.R. Northern Division",58
" ","Ballymun, D.M.R. Northern Division",623
" ","Dublin Airport, D.M.R. Northern Division",241
" ","Santry, D.M.R. Northern Division",1049
" ","Coolock, D.M.R. Northern Division",914
" ","Malahide, D.M.R. Northern Division",314
" ","Swords, D.M.R. Northern Division",886
" ","Clontarf, D.M.R. Northern Division",660
" ","Howth, D.M.R. Northern Division",280
" ","Raheny, D.M.R. Northern Division",265
" ","Crumlin, D.M.R. Southern Division",448
" ","Sundrive Road, D.M.R. Southern Division",296
" ","Rathfarnham, D.M.R. Southern Division",729
" ","Tallaght, D.M.R. Southern Division",1593
" ","Rathmines, D.M.R. Southern Division",638
" ","Terenure, D.M.R. Southern Division",440
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",526
" ","Dundrum, D.M.R. Eastern Division",1515
" ","Cabinteely, D.M.R. Eastern Division",388
" ","Dun Laoghaire, D.M.R. Eastern Division",793
" ","Shankill, D.M.R. Eastern Division",321
" ","Blanchardstown, D.M.R. Western Division",1949
" ","Cabra, D.M.R. Western Division",535
" ","Finglas, D.M.R. Western Division",908
" ","Ballyfermot, D.M.R. Western Division",501
" ","Clondalkin, D.M.R. Western Division",797
" ","Rathcoole, D.M.R. Western Division",320
" ","Lucan, D.M.R. Western Division",610
" ","Ronanstown, D.M.R. Western Division",974
"09 ,Fraud, deception and related offences"
" ","Donnybrook, D.M.R. South Central Division",51
" ","Irishtown, D.M.R. South Central Division",70
" ","Pearse Street, D.M.R. South Central Division",465
" ","Kevin Street, D.M.R. South Central Division",88
" ","Kilmainham, D.M.R. South Central Division",42
" ","Bridewell Dublin, D.M.R. North Central Division",69
" ","Fitzgibbon Street, D.M.R. North Central Division",41
" ","Mountjoy, D.M.R. North Central Division",58
" ","Store Street, D.M.R. North Central Division",332
" ","Balbriggan, D.M.R. Northern Division",72
" ","Garristown, D.M.R. Northern Division",1
" ","Lusk, D.M.R. Northern Division",12
" ","Skerries, D.M.R. Northern Division",3
" ","Ballymun, D.M.R. Northern Division",38
" ","Dublin Airport, D.M.R. Northern Division",28
" ","Santry, D.M.R. Northern Division",35
" ","Coolock, D.M.R. Northern Division",35
" ","Malahide, D.M.R. Northern Division",19
" ","Swords, D.M.R. Northern Division",42
" ","Clontarf, D.M.R. Northern Division",27
" ","Howth, D.M.R. Northern Division",9
" ","Raheny, D.M.R. Northern Division",20
" ","Crumlin, D.M.R. Southern Division",40
" ","Sundrive Road, D.M.R. Southern Division",32
" ","Rathfarnham, D.M.R. Southern Division",47
" ","Tallaght, D.M.R. Southern Division",130
" ","Rathmines, D.M.R. Southern Division",54
" ","Terenure, D.M.R. Southern Division",32
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",54
" ","Dundrum, D.M.R. Eastern Division",104
" ","Cabinteely, D.M.R. Eastern Division",13
" ","Dun Laoghaire, D.M.R. Eastern Division",45
" ","Shankill, D.M.R. Eastern Division",13
" ","Blanchardstown, D.M.R. Western Division",392
" ","Cabra, D.M.R. Western Division",41
" ","Finglas, D.M.R. Western Division",141
" ","Ballyfermot, D.M.R. Western Division",40
" ","Clondalkin, D.M.R. Western Division",69
" ","Rathcoole, D.M.R. Western Division",25
" ","Lucan, D.M.R. Western Division",43
" ","Ronanstown, D.M.R. Western Division",54
"10 ,Controlled drug offences"
" ","Donnybrook, D.M.R. South Central Division",110
" ","Irishtown, D.M.R. South Central Division",43
" ","Pearse Street, D.M.R. South Central Division",618
" ","Kevin Street, D.M.R. South Central Division",281
" ","Kilmainham, D.M.R. South Central Division",134
" ","Bridewell Dublin, D.M.R. North Central Division",113
" ","Fitzgibbon Street, D.M.R. North Central Division",181
" ","Mountjoy, D.M.R. North Central Division",124
" ","Store Street, D.M.R. North Central Division",592
" ","Balbriggan, D.M.R. Northern Division",58
" ","Garristown, D.M.R. Northern Division",3
" ","Lusk, D.M.R. Northern Division",22
" ","Skerries, D.M.R. Northern Division",4
" ","Ballymun, D.M.R. Northern Division",222
" ","Dublin Airport, D.M.R. Northern Division",42
" ","Santry, D.M.R. Northern Division",59
" ","Coolock, D.M.R. Northern Division",260
" ","Malahide, D.M.R. Northern Division",26
" ","Swords, D.M.R. Northern Division",132
" ","Clontarf, D.M.R. Northern Division",98
" ","Howth, D.M.R. Northern Division",14
" ","Raheny, D.M.R. Northern Division",105
